UMAP1	UMAP2	SeuratCluster	orig_ident	timepoint
batch1.U2hESC_223	-12.9170637130737	1.5060852766037	4	batch1.U2hESC	U2hESC
batch1.U2hESC_224	-9.35879993438721	4.681640625	4	batch1.U2hESC	U2hESC
batch1.U2hESC_225	-12.697021484375	2.60616302490234	4	batch1.U2hESC	U2hESC
batch1.U2hESC_226	-12.0839700698853	4.44371461868286	4	batch1.U2hESC	U2hESC
batch1.U2hESC_227	-0.350175142288208	10.3709363937378	7	batch1.U2hESC	U2hESC
batch1.U2hESC_228	-11.6400737762451	3.04419469833374	4	batch1.U2hESC	U2hESC
batch1.U2hESC_229	-1.73679661750793	9.11011695861816	7	batch1.U2hESC	U2hESC
batch1.U2hESC_230	-7.58906269073486	0.27189502120018	17	batch1.U2hESC	U2hESC
batch1.U2hESC_231	-10.9659700393677	4.16281175613403	4	batch1.U2hESC	U2hESC
batch1.U2hESC_232	-2.11188554763794	7.31834363937378	3	batch1.U2hESC	U2hESC
batch1.U2hESC_233	-1.10185182094574	9.00472545623779	7	batch1.U2hESC	U2hESC
batch1.U2hESC_234	7.76695251464844	8.42987728118896	12	batch1.U2hESC	U2hESC
batch1.U2hESC_235	-12.7933883666992	4.26603651046753	4	batch1.U2hESC	U2hESC
batch1.U2hESC_236	-10.2436857223511	4.32576131820679	4	batch1.U2hESC	U2hESC
batch1.U2hESC_237	-9.77210903167725	5.08266162872314	4	batch1.U2hESC	U2hESC
batch1.U2hESC_238	-10.8639192581177	4.28407144546509	4	batch1.U2hESC	U2hESC
batch1.U2hESC_239	-10.8128871917725	4.57684707641602	4	batch1.U2hESC	U2hESC
batch1.U2hESC_240	-2.18957710266113	9.15299224853516	7	batch1.U2hESC	U2hESC
batch1.U2hESC_241	-10.5885019302368	5.33533525466919	4	batch1.U2hESC	U2hESC
batch1.U2hESC_242	-2.16698884963989	7.97411155700684	7	batch1.U2hESC	U2hESC
batch1.U2hESC_243	-0.438283920288086	11.1420278549194	1	batch1.U2hESC	U2hESC
batch1.U2hESC_244	-9.52782154083252	5.16633176803589	4	batch1.U2hESC	U2hESC
batch1.U2hESC_245	-4.72790241241455	10.9945020675659	7	batch1.U2hESC	U2hESC
batch1.U2hESC_246	-10.2066917419434	5.36745309829712	4	batch1.U2hESC	U2hESC
batch1.U2hESC_247	-3.84907817840576	8.44715213775635	7	batch1.U2hESC	U2hESC
batch1.U2hESC_248	-8.07948875427246	0.687934696674347	17	batch1.U2hESC	U2hESC
batch1.U2hESC_249	-9.85772323608398	2.73062133789062	4	batch1.U2hESC	U2hESC
batch1.U2hESC_250	-12.088152885437	4.30590105056763	4	batch1.U2hESC	U2hESC
batch1.U2hESC_251	-2.24415183067322	9.13702011108398	7	batch1.U2hESC	U2hESC
batch1.U2hESC_252	-11.1143369674683	3.65022850036621	4	batch1.U2hESC	U2hESC
batch1.U2hESC_253	-13.0578813552856	3.49912571907043	4	batch1.U2hESC	U2hESC
batch1.U2hESC_254	-0.158800929784775	10.9694089889526	1	batch1.U2hESC	U2hESC
batch1.U2hESC_255	-12.6334619522095	3.39509987831116	4	batch1.U2hESC	U2hESC
batch1.U2hESC_256	-13.2127933502197	2.33463478088379	4	batch1.U2hESC	U2hESC
batch1.U2hESC_257	-5.72655963897705	10.5857448577881	7	batch1.U2hESC	U2hESC
batch1.U2hESC_258	0.00309312413446605	10.5619630813599	1	batch1.U2hESC	U2hESC
batch1.U2hESC_259	-0.697230517864227	8.4603967666626	7	batch1.U2hESC	U2hESC
batch1.U2hESC_260	-1.87665247917175	8.3299388885498	7	batch1.U2hESC	U2hESC
batch1.U2hESC_261	-10.78684425354	2.74550557136536	4	batch1.U2hESC	U2hESC
batch1.U2hESC_262	-2.30794858932495	7.72503757476807	7	batch1.U2hESC	U2hESC
batch1.U2hESC_263	-3.08826303482056	8.63303470611572	7	batch1.U2hESC	U2hESC
batch1.U2hESC_264	-13.3031120300293	3.21144270896912	4	batch1.U2hESC	U2hESC
batch1.U2hESC_265	-2.15196967124939	8.93047618865967	7	batch1.U2hESC	U2hESC
batch1.U2hESC_266	7.02698802947998	8.35065269470215	12	batch1.U2hESC	U2hESC
batch1.U2hESC_267	-4.14953756332397	8.80961513519287	7	batch1.U2hESC	U2hESC
batch1.U2hESC_268	-3.54531288146973	11.2937726974487	7	batch1.U2hESC	U2hESC
batch1.U2hESC_269	-12.8179988861084	3.44448280334473	4	batch1.U2hESC	U2hESC
batch1.U2hESC_270	-10.4498596191406	2.49535775184631	4	batch1.U2hESC	U2hESC
batch1.U2hESC_271	-9.97534275054932	5.41147756576538	4	batch1.U2hESC	U2hESC
batch1.U2hESC_272	-0.970619678497314	10.5928440093994	7	batch1.U2hESC	U2hESC
batch1.U2hESC_273	-12.2336101531982	4.86326360702515	4	batch1.U2hESC	U2hESC
batch1.U2hESC_274	-10.4744920730591	5.15051364898682	4	batch1.U2hESC	U2hESC
batch1.U2hESC_276	-10.3422613143921	4.49045515060425	4	batch1.U2hESC	U2hESC
batch1.U2hESC_277	-11.1780080795288	4.03771209716797	4	batch1.U2hESC	U2hESC
batch1.U2hESC_278	-9.24539184570312	3.28081488609314	4	batch1.U2hESC	U2hESC
batch1.U2hESC_279	-1.80536317825317	9.438063621521	7	batch1.U2hESC	U2hESC
batch1.U2hESC_280	-11.8691101074219	2.98582768440247	4	batch1.U2hESC	U2hESC
batch1.U2hESC_281	-1.87293648719788	10.2017688751221	7	batch1.U2hESC	U2hESC
batch1.U2hESC_282	-4.70131874084473	10.1160354614258	7	batch1.U2hESC	U2hESC
batch1.U2hESC_283	-2.87100505828857	8.86093139648438	7	batch1.U2hESC	U2hESC
batch1.U2hESC_284	-5.60797023773193	9.92770957946777	7	batch1.U2hESC	U2hESC
batch1.U2hESC_285	-10.3229160308838	3.40935134887695	4	batch1.U2hESC	U2hESC
batch1.U2hESC_286	-4.45868825912476	10.1563148498535	7	batch1.U2hESC	U2hESC
batch1.U2hESC_287	-7.77402687072754	0.534338653087616	17	batch1.U2hESC	U2hESC
batch1.U2hESC_288	-12.8214149475098	1.76030540466309	4	batch1.U2hESC	U2hESC
batch1.U2hESC_289	-2.55401825904846	8.41902160644531	7	batch1.U2hESC	U2hESC
batch1.U2hESC_290	-10.1263589859009	3.92291498184204	4	batch1.U2hESC	U2hESC
batch1.U2hESC_291	-2.63458371162415	8.34825801849365	7	batch1.U2hESC	U2hESC
batch1.U2hESC_292	-7.89688539505005	0.398750901222229	4	batch1.U2hESC	U2hESC
batch1.U2hESC_293	-12.6412286758423	2.56117630004883	4	batch1.U2hESC	U2hESC
batch1.U2hESC_294	-0.832525014877319	7.06364059448242	7	batch1.U2hESC	U2hESC
batch1.U2hESC_295	-2.54502010345459	8.57120037078857	7	batch1.U2hESC	U2hESC
batch1.U2hESC_296	-4.42523145675659	10.8035449981689	7	batch1.U2hESC	U2hESC
batch1.U2hESC_297	-1.15604186058044	7.26545143127441	7	batch1.U2hESC	U2hESC
batch1.U2hESC_298	-1.59491896629333	10.1349992752075	7	batch1.U2hESC	U2hESC
batch1.U2hESC_299	-13.2997989654541	3.47503089904785	4	batch1.U2hESC	U2hESC
